,Barack Obama*,"Luis Alberto Ramos, Jr.",Darcy Richardson,"Michael W.R.    Meyer, Jr.",Fred           Karger,Newt Gingrich,Mitt Romney,"Charles E. ""Buddy"" Roemer, III",Rick Santorum,Ron           Paul,Sheldon Yeu Howard,Donald James Gonzales,Jeremy Hannon,Laurie         Roth,Mad Max Riekse,Edward C. Noonan,Andrew Abe Diaz,Raymond Delmond Smith,Kent Mesplay,Jill             Stein,Roseanne Barr,Scott            Keller,Barbara Joy Waymire,Gary Johnson,Bill          Still,R. J.           Harris,Carl         Person,Roger           Gary,James         Ogle,Lee Wrights,Stephen Durham,"Ross C. ""Rocky"" Anderson",Stewart Alexander,Leon Leo Ray,Ronald Clinton Forbes,Shelley Upchurch,,,,,,
San Mateo,"64,637",1,7,4,145,"1,008","21,580",259,"1,308","3,492",0,0,0,217,140,247,0,0,36,303,153,24,36,144,15,6,10,7,19,6,16,24,11,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.5%,3.6%,77.6%,0.9%,4.7%,12.6%,0.0%,0.0%,0.0%,35.9%,23.2%,40.9%,0.0%,0.0%,7.3%,61.6%,31.1%,9.0%,13.5%,53.9%,5.6%,2.2%,3.7%,2.6%,7.1%,2.2%,31.4%,47.1%,21.6%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,"33,129",0,3,0,120,"1,356","26,082",166,"1,803","3,151",0,0,0,160,105,173,0,0,30,138,135,14,29,103,7,9,7,12,6,5,14,18,9,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,4.1%,79.8%,0.5%,5.5%,9.6%,0.0%,0.0%,0.0%,36.5%,24.0%,39.5%,0.0%,0.0%,9.9%,45.5%,44.6%,7.3%,15.1%,53.6%,3.6%,4.7%,3.6%,6.3%,3.1%,2.6%,34.1%,43.9%,22.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,"133,520",4,20,8,620,"3,211","55,629",826,"4,756","10,779",0,0,0,"1,034",519,999,0,0,105,500,337,53,164,469,40,32,39,31,20,29,52,82,71,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.8%,4.2%,73.4%,1.1%,6.3%,14.2%,0.0%,0.0%,0.0%,40.5%,20.3%,39.1%,0.0%,0.0%,11.1%,53.1%,35.8%,6.0%,18.7%,53.5%,4.6%,3.6%,4.4%,3.5%,2.3%,3.3%,25.4%,40.0%,34.6%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,"33,858",0,7,7,86,386,"8,347",81,648,"3,015",0,0,0,200,138,131,0,0,93,289,262,24,34,81,8,8,10,10,8,21,14,33,18,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.7%,3.1%,66.4%,0.6%,5.2%,24.0%,0.0%,0.0%,0.0%,42.6%,29.4%,27.9%,0.0%,0.0%,14.4%,44.9%,40.7%,11.8%,16.7%,39.7%,3.9%,3.9%,4.9%,4.9%,3.9%,10.3%,21.5%,50.8%,27.7%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,"10,384",1,1,1,52,"1,254","18,360",74,"1,563","2,377",0,0,1,173,148,189,0,0,10,42,34,10,23,63,3,8,5,1,7,5,4,15,7,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.2%,5.3%,77.5%,0.3%,6.6%,10.0%,0.0%,0.0%,0.0%,33.9%,29.0%,37.1%,0.0%,0.0%,11.6%,48.8%,39.5%,8.0%,18.4%,50.4%,2.4%,6.4%,4.0%,0.8%,5.6%,4.0%,15.4%,57.7%,26.9%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,307,0,0,0,0,24,447,4,39,87,0,0,0,8,10,7,0,0,0,6,2,1,1,4,1,0,0,0,1,1,0,0,0,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.0%,4.0%,74.4%,0.7%,6.5%,14.5%,0.0%,0.0%,0.0%,32.0%,40.0%,28.0%,0.0%,0.0%,0.0%,75.0%,25.0%,11.1%,11.1%,44.4%,11.1%,0.0%,0.0%,0.0%,11.1%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,"3,538",0,2,0,19,280,"4,263",30,400,628,0,0,0,35,37,51,0,0,2,22,11,5,7,24,2,2,1,1,0,1,2,2,3,0,0,0,,,,,,
  Percent,99.9%,0.0%,0.1%,0.0%,0.3%,5.0%,75.9%,0.5%,7.1%,11.2%,0.0%,0.0%,0.0%,28.5%,30.1%,41.5%,0.0%,0.0%,5.7%,62.9%,31.4%,11.6%,16.3%,55.8%,4.7%,4.7%,2.3%,2.3%,0.0%,2.3%,28.6%,28.6%,42.9%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,"29,211",2,2,1,113,810,"15,918",134,"1,339","2,164",0,0,0,184,144,207,0,0,20,64,45,10,21,82,3,3,4,5,8,9,7,12,13,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.6%,4.0%,77.7%,0.7%,6.5%,10.6%,0.0%,0.0%,0.0%,34.4%,26.9%,38.7%,0.0%,0.0%,15.5%,49.6%,34.9%,6.9%,14.5%,56.6%,2.1%,2.1%,2.8%,3.4%,5.5%,6.2%,21.9%,37.5%,40.6%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,"63,123",0,7,3,200,"1,061","20,593",387,"1,718","4,116",0,0,0,428,339,498,0,0,114,583,439,33,66,152,15,21,15,18,31,26,28,59,34,1,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.7%,3.8%,73.3%,1.4%,6.1%,14.7%,0.0%,0.0%,0.0%,33.8%,26.8%,39.4%,0.0%,0.0%,10.0%,51.3%,38.6%,8.8%,17.5%,40.3%,4.0%,5.6%,4.0%,4.8%,8.2%,6.9%,23.0%,48.4%,27.9%,0.8%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,"23,407",0,4,2,106,"1,253","22,895",170,"2,143","2,962",0,0,0,256,146,226,0,0,8,31,41,8,24,75,2,4,1,10,1,1,16,15,10,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,4.2%,77.5%,0.6%,7.3%,10.0%,0.0%,0.0%,0.0%,40.8%,23.2%,36.0%,0.0%,0.0%,10.0%,38.8%,51.3%,6.3%,19.0%,59.5%,1.6%,3.2%,0.8%,7.9%,0.8%,0.8%,39.0%,36.6%,24.4%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,"4,328",0,0,0,23,340,"7,521",59,509,685,0,0,0,67,50,81,0,0,1,3,7,3,1,20,6,3,1,2,1,0,3,4,3,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,3.7%,82.3%,0.6%,5.6%,7.5%,0.0%,0.0%,0.0%,33.8%,25.3%,40.9%,0.0%,0.0%,9.1%,27.3%,63.6%,8.1%,2.7%,54.1%,16.2%,8.1%,2.7%,5.4%,2.7%,0.0%,30.0%,40.0%,30.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,"3,357",0,0,2,24,293,"5,430",33,446,776,0,0,0,96,63,118,0,2,2,9,14,3,7,18,4,3,2,4,6,1,4,10,4,0,0,0,,,,,,
  Percent,99.9%,0.0%,0.0%,0.1%,0.3%,4.2%,77.5%,0.5%,6.4%,11.1%,0.0%,0.0%,0.0%,34.4%,22.6%,42.3%,0.0%,0.7%,8.0%,36.0%,56.0%,6.3%,14.6%,37.5%,8.3%,6.3%,4.2%,8.3%,12.5%,2.1%,22.2%,55.6%,22.2%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,"1,241",0,0,0,7,65,"1,119",11,95,231,0,0,0,21,14,19,0,0,0,16,11,2,6,11,1,0,1,1,1,1,1,1,3,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.5%,4.3%,73.2%,0.7%,6.2%,15.1%,0.0%,0.0%,0.0%,38.9%,25.9%,35.2%,0.0%,0.0%,0.0%,59.3%,40.7%,8.3%,25.0%,45.8%,4.2%,0.0%,4.2%,4.2%,4.2%,4.2%,20.0%,20.0%,60.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,"10,186",1,1,0,59,951,"18,896",98,"1,581","1,488",0,0,1,197,105,228,0,0,15,25,31,3,13,27,3,15,4,2,3,1,4,9,9,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,4.1%,81.9%,0.4%,6.9%,6.4%,0.0%,0.0%,0.0%,37.2%,19.8%,43.0%,0.0%,0.0%,21.1%,35.2%,43.7%,4.2%,18.3%,38.0%,4.2%,21.1%,5.6%,2.8%,4.2%,1.4%,18.2%,40.9%,40.9%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,"4,491",0,0,0,24,302,"5,788",18,470,713,0,0,0,52,43,47,0,0,6,22,20,8,1,22,3,3,2,1,3,2,2,8,3,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,4.1%,79.1%,0.2%,6.4%,9.7%,0.0%,0.0%,0.0%,36.6%,30.3%,33.1%,0.0%,0.0%,12.5%,45.8%,41.7%,17.8%,2.2%,48.9%,6.7%,6.7%,4.4%,2.2%,6.7%,4.4%,15.4%,61.5%,23.1%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,"46,434",5,0,3,170,"2,010","47,642",324,"2,906","4,987",0,0,0,335,192,333,0,0,40,156,169,18,44,179,11,28,11,21,12,6,9,30,14,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,3.5%,82.1%,0.6%,5.0%,8.6%,0.0%,0.0%,0.0%,39.0%,22.3%,38.7%,0.0%,0.0%,11.0%,42.7%,46.3%,5.5%,13.3%,54.2%,3.3%,8.5%,3.3%,6.4%,3.6%,1.8%,17.0%,56.6%,26.4%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,"16,544",0,0,4,35,350,"8,131",75,505,"1,206",0,0,0,87,64,71,0,0,18,99,76,1,12,31,3,2,0,2,3,4,7,10,6,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,3.4%,78.9%,0.7%,4.9%,11.7%,0.0%,0.0%,0.0%,39.2%,28.8%,32.0%,0.0%,0.0%,9.3%,51.3%,39.4%,1.7%,20.7%,53.4%,5.2%,3.4%,0.0%,3.4%,5.2%,6.9%,30.4%,43.5%,26.1%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,"2,493",2,0,3,25,173,"4,114",31,244,430,0,0,0,54,31,64,0,0,1,11,15,2,5,25,1,4,1,1,2,2,3,4,2,0,0,0,,,,,,
  Percent,99.8%,0.1%,0.0%,0.1%,0.5%,3.4%,82.0%,0.6%,4.9%,8.6%,0.0%,0.0%,0.0%,36.2%,20.8%,43.0%,0.0%,0.0%,3.7%,40.7%,55.6%,4.7%,11.6%,58.1%,2.3%,9.3%,2.3%,2.3%,4.7%,4.7%,33.3%,44.4%,22.2%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Totals,"2,075,905",54,221,129,"8,393","72,022","1,530,513","12,520","102,258","199,246",2,5,11,"16,326","10,430","16,926",4,6,"2,005","9,165","7,399","1,208","2,118","6,780",670,670,523,559,558,479,971,"1,589","1,094",2,2,4,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,3.7%,79.5%,0.7%,5.3%,10.4%,0.0%,0.0%,0.0%,37.4%,23.9%,38.7%,0.0%,0.0%,10.8%,49.4%,39.8%,8.9%,15.6%,50.0%,4.9%,4.9%,3.9%,4.1%,4.1%,3.5%,26.5%,43.4%,29.9%,0.1%,0.1%,0.1%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
